clean_text,sentiment_label
thank,1
bos ord,1
ive calling straight day one pick sure storm also holler,0
sure hope fix good luck service suck,0
hold hour whats number speak someone unacceptable need change flight,0
already question still say progress day,0
mgood get home,1
want bump seet first class two cancelled flightlations hr joke,0
new mileage policy awful might paid slightly united mile there difference,0
airline rated worst america youve got work cut bc treat customer like garbage,0
get copy last flight showing original time delay need work thanks,1
would appreciate call regarding horrible experience gate agent hold min hung,0
thanks,2
flying madrid jfk dfword huge,1
response could made difference could made situation better trustget lost like bag,0
fleet fleek,1
thank guy awesome,2
yes sayin particularly poorly handled situation,0
dm amp add upgrade list flt tonight,1
looking forward power inclusion event special guest begin promptly,1
dont time taking amtrak home call partial refund,0
disappointed service missing connection hour delay cramped seat least app good,0
delayed im charlotte big surprise,0
worry dont blame weather,1
im dumping dividend mile card forgetting airline exists,0
staff deck cabin ua sfo gt bos exceptional today please tell well done,2
ceo battle appease passenger wall street,0
hold two hour finally hung able needed without customer service eventually,0
frustratingit paid get refund,0
love flying great service,2
party atl terminal,1
employee yelled employee stood others whispering pointing behind counter,0
day bag amazing way neglect customer,0
ok cancelled flight flight tmrw weather amp rebook flight next day flight tmrw night compensation,0
team back home luggage wet partly damaged happy,0
taylor u got ta love swa responsiveness least huh,0
would understand weather issue bc airline maintenance sleep airport floor lose entire day,0
also way get printed one record keep whenever fly,1
good care customer anything happen take getting back nyc screw,0
nd february row stranded u try return cancun contact info way rebook,0
done heading warmer weather,2
love great time flying,2
thanks two smooth safe fast flight,2
idea plane flight coming thought flight jfk wouldnt explain delay,0
cancelled flight flight today precipitation scared,0
first time flying u medical info looking practical like adapted seat cushion allowed,1
cool gate turn flight fll jax delayed yet app say time good start,0
someone help set callback today,0
hey guy due horrible customer service issue way get checked bag credit,0
need wheelchair gate sure option,1
friend stranded kphl representative wont even give food vouchersany help please,0
look like im settled im going thx,2
credit card statement received anything way look,0
record l got email couldnt get rescheduled another flight dont know flight cancelled flightled,0
almost hour hold swa inexcusable,0
lauren omg best airline ever,2
c think mile repair damage done interesting travel exp worst flight ever,0
youre welcome,2
denver said dont handle baggage made colo spring gave number call help either,0
hr wait amp really bad exp luggage wont arrive w really go back la airport pick arrives,0
staff overall awful multiple airport would switched airline another flight available,0
paid extra seat amp monitor didnt work aa refund seat conf mdbeei mcmullen,0
fantastic job people today ua dublin jam packed plane crew wonderful,2
layover itinerary swapped layover itinerary really,0
need change flight c telling cant take call cant change online please help flight week,0
miamiphl flight cancelled flightled got gate one aa around one phone awful awful awful,0
youve got kidding look picture im hoping flight came whole story much,0
entire flight crew flight bos phl wonderful job making experience totally suck,2
cancelled flight flight yesterday rebook middle seat acceptable upgrade emergency row would help,0
held almost minute promised free movie didnt work neither wifi paid boo,0
call discus told united phone contact passenger absurd,0
whats going ua outbound flight last thurs delayed hr long delay,0
guy let go,2
son passenger flight chicago toronto plane came within foot colliding another plane stopped,0
would get early enough green tag go otis would still sitting ord,0
tweet bot obviously dont get sarcasm making computer like real people,0
still airport waiting flight,0
thanks call cancelled flightled flight flight booking problem tues good weather caused leave early,0
minute delay take minute wait checked bag really,0
flying,2
nonstop flight midway boise summer season looking book labor day trip ty,1
one worker rude u tell dm cuz wont good publicity,0
know im flying virgin fight,1
plz dont advertise wifi gon na work thanks,0
sure im running version,1
customer service joke first mechanical cancelled flightation weather hold since human pls call,0
glitch website flight booking problem travel amp checking nothing ur site amp airport communicated nightmare,0
keep going back forth able board great agent savannah,2
disconnect pr group actual business strategy employee attitude ground,0
new garbage cry get attendant find place medical supply limited overhead,0
flight san fransico jfk evacuated,0
mean real live person somewhere go speak newark post security,0
im sure expected anyone,0
flight booked saying wait tomorrow,0
hopefully flight seattle boston pm wifi first one entertain,0
flight major city already cancelled flightled hour departure due weather backup plane,0
forgot put tsa pre number checked profile boarding pas,1
woman working counter philly need fired due bad weather along passenger,0
thanks,2
besides landing plane overall customer service experience poor late flight rude worker plus missing luggage,0
believe long flight phi taking know u airway would really like get home,0
making great first impression first flight minute boarding gate agent still cant assign seat,0
beginning feb called united said would send another voucher mail never got anything,0
saving sanity leaving behind sunshine,1
bull crap spent recent trip thats small change got aa mile would ua,0
best customer service rep world take cake,2
seen blue go look,2
course thats company job guy failed first place upgrade well talk,1
wondering website issue today trying book flight visa always use rejecting,0
disappointing experience shared every business traveler meet,0
big thanks team family emerg day ticket experience excellent st time flying yall last,2
submit complaint line never heard back dont id find,0
calling number useless heading airport pick bag whole situation seems like real joke,0
pleasecan last ticket best friend,1
need speak real person flight cancelled flightled explanation ive hold hour,0
seriously hate since cant accommodate due inclemental weather disruption lol funny,0
spent flight could gone mileage program suck,0
thank,2
manchesterbwi delayed one idiot isnt plane weve waited hour window may miss,0
apology help would nice supvsr sally cle offered one usual gr southwest customer service love,0
confused definition preferred seat paid extra one got regular seat legroom unimpressed,0
terrible illogical reroute cancelled flightled connection made pay check bag lost bag,0
put hold number loooooong time help,0
wed love help shanese bryantmelton hardworking grandmother dc go miami bucket list,1
minute mean public transit home expensive cab promise doesnt make,0
im aussie cowgirl lookin cowboy take fort worth estelle say ill find,1
could send dm,1
idea theyre delay flight pm pm delay another destination time,0
still effin waiting weather delay engine trouble lack crew shitting,0
yes thanks found didnt see gray tab first,1
found someone ask answer landed almost minute ago,0
forgetting fuel realizing cargo add plane one way try mask delay,0
thanks one pilot last two flight stranding houston tonight airline absolute worst,0
pulling away gate get departure time leaving u tarmac claiming power issue magically repaired,0
known traveler transfer check aa elite get choice seat,1
idea novemberdecember travel open,1
dont bother wasting time send u form letter amp let u choose gift certificate,0
another perfect flight come plane sun visor stay carrier make raise,2
thank confirmation,2
birthday february th date imagine dragon flight concert btw,1
delay rebooked flight,0
love guy take airline weekmakes love appreciate yall much,2
better train support staff appropriate decorum consider revisiting terrible provide death certificate policy,0
second pic cdg,1
close,0
understand im even put hold say try late flightr goodbye,0
someone please tell talk,0
concern cancelled flightled flight due cold weather nj saturday cancelled flight degree,1
im researching flight amp noticed small issue wclass service site amp site could reservation help,1
flight landed hour ago flight cmhiad last night still bagcould driven cmh,0
would nice offered flight credit especially since im staring empty overhead room,0
win always saved day got direct orlando,2
im huge fan would love tix show,2
hows u looking today,1
thanks united running water late flight flight grand rapid denver,0
best part hearing attendant give voucher person next hotel bgr guy saying dont,0
would person take hour hour wait time tell lie,0
already landed still care thanks help though k ow caused failure,1
thank thank thank contacting thank offer travel certificate,2
help delayed flight im going miss connection,0
need talk get full refund trip call center offer assistance,0
telling dont correct tag luggage luggage apparently la charlotte ok,0
daughter record loc kybilc traveling yo need adjacent seat across isle,1
yeah sorry there always problem united international reputation problem,0
disaster flight missed passenger count since done manually really,0
hopefully fixed theyve got new aircraft u waiting board,1
tried hr contact sw twitter fb phone email w reply hr late flightr u respond could point,0
thanks looking getting back via dm glad hear bag finally delivered thanks,2
thank,2
received two reservation checkins two different flight one flight tomorrow morning need assistance asap,1
trip month awaywhy consider around corner setting change,0
nd flight two week lost bag taking k status,0
gracious tell go buy water snack flight delayed hour,0
ceo battle appease passenger wall street,1
mt call volume extremely high today apology please continue contacting reservation assistance,0
flight operated nma arrives following flight reagan national,1
arent calling going thru doesnt wait anything automated stuff messed,0
seem impossible contact anyone airline get item left board plane min deplane,0
use swa hour counting hold flight cancelled flighted,0
premier desk able rebook friend problem pay checked bag,0
day late flightr lost bag fedexed somewhere know cause dont amp delivered somewhere,0
supposed change near future,1
please change direct flight ric jfk instead lga pleeeeease lga pit,1
jump market,1
captain flight phxphl tonight hilarious greeting pointy end airplane haha thanks,2
flying flight tonight pbi boarding position c overbooked really dont want bumped,1
error message said couldnt process request last step seat selection leg agent unaware,0
hold airline min counting service terrible,0
thank reaching hopefully request fixed remain loyal customer,0
dinner called hon service would expect st class,1
wifi shit fix jump closest bloody fucking emergency exit,0
sure thing,2
sure look like ill make birthday celebration,0
refund,0
many missed connection already bc delayed flight finally board soon,0
big kudos staff today dallas love field lifting everyones spirit today delay cancelled flightlations,2
let one person board early bird save seat entire party,0
grt flight phx last week tonight terrible hour taxing give u water cracker compensate,0
view downtown los angeles hollywood sign beyond rain mountain,2
good back see several week,2
better time call flight friday need change worried may hold,0
everyone overreacting keep swag,1
please get service started offer good route lile florida upstate ny vega etc,0
flight amazing best flight ever kidding service incredible,2
youll receiving long amp detailed complaint letter soon long story short never flying usair,0
ok thanks clarification,1
even responded quicker via twitter still hold hoping one book flight,0
big company happy something customer costing delay oh mention,0
true national mall,1
dealing cancelled flightled flight since last night amp booked flightwouldve least liked see ella perform lol,0
delay connection pns,1
fleet fleek lol wut,1
poor showing today assistance passenger mi connected due maintenance waiting baggage,0
stuck airplane way phl houston passenger frustrated make want avoid airline,0
shouldnt find tell u ive flown jet blue since first month experience isnt,0
another awful experience victoria check desk stl could rude condescending,0
service awful boston pay extra dollar supposed dissatisfied,0
thanks bad make two day train trip look appealing,0
site,0
credit card company accidentally marked jet blue ticket fraud corrected mistake reposted money,1
yall real mvp price,2
thats pretty nice flight credit automatically given flight also wish lounge could sleep,1
horrible experience key west lost luggage called check amp told call back reconsidering flight back,0
worst airline ever staff nasty wifi bag delayed due weather belt broken selling ual stock,0
hold music suck,0
love jetblues speedy twitter customer service,2
would like watch video loyal customer really treated asking explanation hour delay,0
cant even look right ill call im mad,0
flight vega coming soon havent received drink ticket late flightly help,1
ive spoken emailed jb team explained situation didnt seem matter anyone guess expected,0
awesome flight philly tuesday party row youre interested,2
guy nice give route jet blue southwest least treat customer properly,0
calling customer service delayed flight today luggage misplaced disaster across board,0
stuck ramp dca u air computer system crashedeverywhere,0
cancelled flight flight ny time make decided sampgs theyll cancelled flight return flight thanks,0
although wasnt totally answer looking appreciate prompt response,2
best message saying use website website saying need call dont answer,0
sure plane hour late flight ontime departure ship sailed away long time back,0
flight cancelled flightled let know new flight info,0
try call reservation line someone answer phone hold hour,0
happened u couldnt get u home next day,0
sitting phl rude customer service agent,0
moved pm flight main concern luggage arriving told sw,0
overweight flight sold ticket seat know let call,0
flight houston,1
need hire people,0
hey aa mistake made cr flight booking problem call reservation keep getting hung advise,0
thanks upgrade today great way start week cc,2
wtf happening pdx late flight march one way sfo,0
hi jh experience united entirely disgusting yes id like assistance getting compensated bag,0
flight booking problem cld time select manage flight booking problem month emailed response help,0
yall trying fly chicago dont live send home bullshit as customer service,0
still sitting feel badly handled,0
found footage happy,2
thx quick response yep tried cant find flight input confirmation,2
interesting forward compliment never complaint world worst airline,0
trying get someone cancelled flightled flight tomorrow hour,0
impressed superfast reply,2
merger cluster inefficiency misinformation going done,0
thats brilliant thankyou much classed part carryon,2
add pillow instead lieflat seat first class arm race,1
please bring back rdu fll direct route noticed missing starting late flight august flight always packed,1
anything done make flight attendant aware aa member benefit embarrassing argued happened,0
flight cancelled flighted im needing help reflight booking problem,0
yes get exact data download fine upload bandwidth ping issue ping especially,0
taxi across dfw airport min state min past departing gate need deiced wow uncool amp untrue,0
guy horrible,0
another ua flight gate held min cnx pax,0
already reply sorry believe fair journalist writing article trip include,1
one bag claim want mga,0
would board ppl plane b turn deice would ppl wait hour long process,0
sure thing,1
thank guy,2
system failure bad trend software project like flying airplane there thing emergency takeoff,0
wait time hour talk exec plt agent going,0
youre airline thats open sooner confidence booster,0
ticket booked aa mile sorry sold ticket company merged cant fix,0
ever consider coming memphis need trueblue service fare badly,1
please arrange someone arriving gate flight chicago either refund first class upgrade,1
lt lt rt sorry hear wifi connection dani please dm u conf help thanks,0
need help missing bag,0
thanks,1
life goal complete,2
u suckwe sitting hr ur negligence,0
wellmy paid ticket assigned seat essentially wont flight unless pay,0
like clockwork friday afternoon flight la den running late flight seem happen consistently,0
would great never thought id sort whod really make flying experience bearable,2
nice trip back home looong vaca,2
know thanks evaluate chairman,2
however completely controlthe price still displayed,0
k thanks,1
contact requesting charity donation,1
flight delayed three hour pilot never showed,0
put airport click update tell put airport,0
please dm speak regarding receipt email presidential level complaint,0
get follow fly christmas,1
gtk mile usair last four flight good airline much improved billing issue seat legroom air service,0
rudestaff incompetentmanagers,0
thanks much ruining vacation really couldnt done without,0
let assure travel time hm hm,0
great flight delay thank,2
yeah im looking specific date keep checking daily fare drop,1
thanks able app still customer service seen yyz,0
awesome thx thx replying damn fast sure hell beat cheeze hold music,2
flight delayed hour another week another delayed flight,0
funny paid check bag flight begging folk check bag free hour flight,0
left gate minute early thought doesnt count sit tarmac half hour,0
changed aadvantage travel plan amp called get help sea ur busy amp hang give,0
well new baggage fee fare structure reduced legroom turned every hated carrier u congrats,0
contact missing rapid reward credit,1
follow please airline beautifull,2
run show airport boarding pas say u airway wait american line,0
cant reschedule flight online,0
need get cvg bag thanks,2
thank youyou,2
took mile account told could restore paying opening credit card,0
spent hour phone customer service find cant help need help family pooling asap,0
desk attendant stated would sit awhile given clear lack communication seems norm,0
always happens guy make traveling incredibly stressful uncomfortable good business,0
timely bag missed flight people need undies next morning,0
airline always told u cant open cabin door closed plane done time tonight,1
ive hold minute time want answer phone would great,0
need work tomorrow therefore doesnt help direct message faster calling number,0
thank,2
recap bounced flight lied hung supposed thinkdo,0
sat plane hour dulles,0
call back five time get someone phone knew time getaway went,0
thank alicia,2
apology cool,0
never ever flight booking problem flight united affiliate chance get united flight,0
departed awaiting inbound plane yesterday three hour never arrived stay overnight,0
never frustrated conversation united cant speak spanish courier company bag,0
hour delay cant print piece paper,0
take compliment mistaken several time member staff flight time remove scarf,1
go hell,0
would sell seat hour flight half legroom occupied escape raft,0
thanks making check bag space empty flight attendant dirty look,0
consolation staff stellar hour delay encountered every one flight,0
flight chicago buffalo hour flight care safety,0
good thanks,2
sitting ua getting delayed operation cant find captain,0
mad love nyc,2
customer service say since wife setup family account cant join mine year help fix please,0
gate agent hooked alternate flight way prevent constant issue would rock,0
much longer take guitar royal commission,0
participate representing,1
website wont let view reservation due change made outside im hold get help,0
yes said runway isnt ready theyre waiting port authority remove snow sight,0
im flight tomorrow got cancelled flightled need find alternative get dallas please help,0
fuck,0
load u flight captain hour could fly one consecutive period unacceptable,0
dang pandora look like may get pushed back likely,1
cant wait thanks response,2
pilot announces plane unused day maintenance dealing another aircraft,0
bag fly freejust youre going,0
june yet,1
flt get gate den minute waiting information,0
fucked voided ticket kept money even apology never fly airline,0
would appreciated please dont send page long form amp limited character direct email,0
booked online unable cancelled flight online finally got thru,1
well thng wait someone explain u situation responsibility,0
thanks sent dm,1
northern california coast,1
hold min anyone hv connection sw another airline get chi n columbus ewr,0
cancelled flighted flight im rerouted hr travel bump paying customer non rev,0
yes talked fll say central central say fll go im betting go mths,0
looking fare returned companion flight dont understand additional fee necessary,0
hey follow u dm question,1
flight cancelled flightled cant reach anyone phone ticketing agent safe assume wasnt rebooked,0
prop la employee working c gate opposed flying la future,2
incompetent,0
plane jfkgtsfo sitting hour waiting push crew acceptable,0
one event lot info available,0
flight cancelled flighted rebooked agent made mistake booked wrong date trying get via phone hour,0
ltltltltlt shoddy customer service use whatsoever,0
received actually thank,2
terrible service,0
account even aware contest one youre fucking,0
thanks,2
three delayed flight missed connection first class flight get compensation losing seat,0
everyones flight cancelled flightled today deserve,0
really,1
u costing get home today reason send receipt reimbursed,0
stahp rt fleet fleek,1
people cruel stupid posting personal email damn internet u lost mind,0
yes food add gluten free option youre,2
need entire customer service overhaul would never treat customer anything less service,0
looking getting bag lusaka,0
well ill make sure never fly jetblue,0
becomes first accept pay future experience,1
provide info checking stroller car seat cost restriction need bring seat stroller,1
thanks note flight cancelled flightled aircraftrunways working dfw todaytomorrow,0
manage itinerary section website seems broken,0
accepting pay mobile enterprise,1
loyalty team basically flipped via phone thanks maybe google loyalty get back lol,0
best track deal special flight offer im liking international option,1
hour already,0
done,1
glad ive waiting hour minute ive transferred time without resolving anything worst service ever,0
seen message today mcdonnell douglas dc model hear read goodnight,1
cancelled flighted arrival shv tonight amp st departure flight mon feb rd check airline flight status,0
rebooked flt isnt monday dont get voucher hotel never u airway,0
unfortunately hoping catch one sometime near future,1
sil bought tix u nyc told gate cc declined supervisor accused u illegal activity,0
please expedite missing bag claim thanks,1
looking cool,2
airport snow removal method keep good work folk cessnas become,2
sure go south breakfast though delayed three hour,0
noting perfectly fine attitude dealing flyer stubborn demanding unwilling accommodate,0
tough night two minute call hold delayed phoenix two day one aircraft ready acceptable,0
thank see,2
boyfriend supposed home saturday flight dc cancelled flightled yet please get home,0
virgin wifi,1
appears six flight calgary tomorrow correct,1
got paying extra sit way back awesome never,0
vega desk said jfk connect would b held u others plane staff jfk say weather problem,0
claim w customer protection notify customer delay cancelled flightlations diversion,0
hr late flightr finally taking,0
u dont atlanta san fransisco present sale like u last saleim looking return ticket,1
ill see board soon,2
miss work taken philly ive flight bos gt phl many time re seat,2
call window seat,0
pleasantly surprised find ana made major upgrade transpacific route flight plane service,2
guideline say xx bag xx bit taller guideline gon na problem,1
ill sincerely regret dividend mile good thing coming end,0
bossf waiver business cancelled flighted due weather beforeafter flexibilitycompassion extreme circumstance,0
calling someone monday customer relation disappointed treated customer service,0
private msg provide detailsu really need customer svc training staff,0
please email temorriscom willing discus experience amp give another try would like speak directly,1
help needed ticketed passenger available seat scheduled leave late flightr today,0
new plane easy power laptop iphone missing good boatstyle swivel cup holder,2
okay u cancelled flight change flight good u cant logistically figure plane come time,0
daytona available free tv,1
,1
love travel plane people nice amazing please follow back love company,2
brought way across country today see,1
teyana taylor performing free till,1
cancelled flighted amp rescheduled flight amp still getting update amp cant find current flight account,0
lose gate checked bag den ord direct flight ugh,0
yr site trouble mobile check,1
guess get airport early need wait min checkin really,0
point told sold voucher wasnt fast enough,0
sent thanks vp,2
advised gas pilot flight bad one took action,0
thank well touch,2
could beginning bluetiful relationship,2
time hr passed got call back ticket wasnt fault yet pay extra,0
friend kphl told rep woulda gone home tried tomorrow,0
worried great ride new plane great crew airline like,2
hi flew airline australia saw zero kangaroo rectified,1
say im wour,2
way ord abq anytime within next hour,1
ua today left sunglass seat f please help get back,1
need talk actual person missing luggage please advise make happen,0
seat flight ua,1
mobile boarding pas email,1
hour hold far,0
youve got room earlier flight home charge get hero,1
went purchase flight began processing even minute earlier point gone help,0
worst airline ever travel worst theyre equivalent dirt,0
found great price thru u air honeymoon website wont work hold hour told min,0
didnt fund purchase another ticket error would cause family miss funeral,0
flt landed half hour ago single bag yet baggage claim hate much right,0
truly worst day flying ever experienced,0
dont like lied bad weather dc md va ive stuck ca day shouldve home owe,0
delete return ticket europe blame show airline joke time happened time,0
policy change ive seen people hamster rabbit,1
flying home event tomorrow pushed back flight ticket wont get home time,0
get email thought wasnt supposed reply,1
trying since file report,0
follow back ill give detail,1
cmh gate staff disaster overbooked volunteer boarding min late flight trying figure issue,0
offered complimentary drink switching seat stewardess asked age amp said giggled,2
okay thank help,2
flying southwest first time lga layover atlanta,1
miss ill never fly united,0
one im trying make probably late flight see email could call pittsburgh international,0
everyone around u sitting friend family member booked ticket october december bought,0
good im catching p flight tonight thanks response,2
travel credit used buy expires day find lower rate,0
bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,2
weve since youve cancelled flightled flight twice,0
flight cancelled flightled laguardia louisville ky stuck airport guy compensate,0
brother flight dfw cancelled flightled yesterday flying ont dfw today,0
wow regina told cant file request lost bag statement finish travel get dc argg,0
groupa group c never got sit next south west flight even honey moon,0
damn delay,0
flying flight tonight pbi boarding position c flight overbooked funeral attend,1
awww manbut need buy ticket today home st march go thisor assist,1
unhappy customer waiting min hold rude amp uncaring rep frozen acct cant print bdng pas,0
favorite way travel thank,2
mean probably inappropriate board,2
wifi flight ua sf ord really wow,0
let u know advance reboot yes thanks attentiveness,2
almost day still frozen thanks doll,0
well sortawe r trying get aquadilla pr flight go day booked ua cancelled flighted flight nj,0
happy board please share detail kp done,2
whats hold flight,1
would let u switch different set flight could spend time family pass away,0
id fly port au prince haiti help ongoing earthquake relief effort still lot,1
understand weather fault ur c rep atrocious happy evr fly w u,0
believe follow order send dm,1
misjudging deliberate strategy seen multiple time usair make staff life easier expens passenger,0
thanks,2
opening flight beyond august th,1
please start acting age stop shortshorts,0
need rebook get agent help,0
appreciate update also appreciated pilot effort explain u accurate authoritative comms vital,2
patient originally,0
thank,2
spoke rep phone suggested voice concern via email u site moment ago,1
help attempting cancelled flight flight cant get thru number call get dropped saying agent flight,0
never received horrible service treated poorly richard p today excuse attitude amp ripping ticket,1
match status cool,2
lost black wallet flight clewould appreciate ur help last used,1
didnt miss flight american airline gave ticket well passenger ticket away fault,0
empty st class chairman cant move due silly award travel rule trumping common sense customer service fail,0
let say,1
filled airport part long day made longer,0
supervisor available couldnt anything,0
great de boarding perfectly plane shot fml plan screwed thanks nothing,0
soooo day youve offered response assume poor treatment gate agent norm,0
terminal e miami still worst smelly airport ever thanks nothing,0
rebooked pick luggage,1
well phlsfo flight yesterday major miss unfriendly premier cabin crew baggage cluster sfo,0
thank great tool,2
double booked spoke c weve got plan fix still amateur mistake never happen,0
sisterampbrother law need get florida desperately flying w anything,1
man cant wait book ticket thanks jp youre life sabe,2
whats broken tv seat f flight today planned catch game nooooo,0
please provide status flight cant imagine time web indicates dude weather andor dallas,0
thank,2
friend legally required chaperone school trip,0
good perspective safety concern expressed point arrived airport,0
like call back system thought youd like know working well received three call there audio,0
dont want waste time airline youve already robbed hour day definitely,0
problem apology dont help result matter proving impossible find anyone interested,0
fair enough stink passenger plane leaf gate sits tarmac hour takeoff,0
hr early send email share experience dont want blasting,0
please dm flight delayed going clt force miss connection lga pm,0
ready let say together noooo turbulence today,1
yes answered put back hold check request min late flightr nothing,0
dont see justifiable cost get early flight seat airline charge conveniently get passenger early,0
think im priority member wonder treat plebe know reward card im cancelled flightling immediately,0
scavenger hunt vega ready,1
bet,2
refunded u vacation get free room night make making u sleep dia,2
okay sent,1
please help best friend get ticket much thank,1
flight cancelled flightled amp chaos abounds good humour please give free everything appease,0
yes thank appreciate u checking,2
bag tagging led many people backing aisle front bag,0
full flight customer sitting plane waiting baggage loaded aa dfw hour delay,0
amp finally told couldnt use front plane restrm row though myselfothers row behind used wno issue,0
love airline much thanks much service great snack amazing everything outstanding thanks,2
several miss communication able get ord home yet sure get due error,0
really need better system handling cancelled flightled flight,0
idiot took plane amp gave someone else fudgers flight philly orlando,0
dont need check status flight plane door malfunction get together,0
day iad cvg iad cancelled flightled united airline operating friend stuck miss intl flight help,0
hung many time trying cal crazy,1
redeem travel voucher flight cant reach travel agent phone hold expires hour,0
federal regulation prohibits separated bagyet lose bag thats okay,0
cool shot moon one fleet,2
im still disappointed apparently ok flight attendant isnt current policy argue traveler,0
nothing important told wait line,0
asked dm ignore please assist changing another flight today feb fra mco avoiding iad,0
thank,2
miss continental day,0
im familiar procedure wouldnt first time lost one bag,0
finally got someone phone worry,0
tremendous job atlanta airport saw sw celebrate mardi gras another reason im nut guy,1
ua sitting tarmac ord visibly gate open reassign gate,0
put sun carry rt right would heat wave enjoy warmth bring home jj,1
commercial like legroom one,1
seriously attendant go awol min flight delayed dont lite match either,0
lost bag never ever flying united,0
volunteer give seat people sit minute plane waiting add people,0
flight gate change top really hoping compensate pointsmileage account,0
case making jackass allowed favor sayget right care lessme vacation true seeampeter scott,0
yes,1
keeping aa air crew chief cousin alex espinosa dfw,1
flight delayed jfk hour hour hour back hour explanation apology,0
stop madness fleet fleek,0
thanks im booked spent extra hr ten w explanation flying middle seat char instead memphis,0
late flight boarded exit row taken could gotten worse guy next shouldve bought seat,0
sent email describing experience looking forward follow hopefully make right,1
iad buf incredibly loud like third world inner city metro bus,0
guess b airportcardio given time flight,0
sway fleet fleek,1
customer service failure aside one would think guy would care inaccurate manifest im sure tsa would,0
thank,1
exciting time ahead,2
tell need way nyc might choose,1
release november flight flight booking problem,1
death family make flight tomorrow phone rep quoted per person fee almost cost ticket help,1
thank,2
itd nice could get answer even simple would want know,0
guy offering nofee change flight dca tomorrow afternoon,1
wonderful job today got wife daughter pgh orlando flight delayed luggage,2
fight got cancelled flighted u help rebook flight call center busy answer call even put hold,0
tomorrow flight cancelled flightlations dfw aa flight posted lax,0
non existent take far neededwhy hide behind corporate logo provide number,0
last chance win,1
thanks info figured case hopefully new hashtag change,2
thanks much help u u r amazing,2
yes manner done harsh affected already checked remorse weak alternative,0
ive hold one hour four minute reservation line possibly business way,0
ive filled form twice email lost item code verify received,0
used evening flight dcadsm early return middle work day inconvenient,0
hour still one yuma counter,0
wheres bag called noon promising today would like update like website promise need bag,0
lister show monday,1
hows dallas incoming looking im scheduled fly wondering ill stuck st louis instead,1
see thread,0
cant sapphire member reach anyone phone,0
last year flight delayed cancelled flightled im done,0
called jb timeseverytime auto vmsgyour wait time longer min waited longer min answer,0
please start flying guyana soon,1
difference booked flight want screen shot,0
trying use chairman upgrade cert flt told option open seat thanks,0
want contact someone question amp put hold minute order hung sent pet line,0
cancelled flight previous request accept ticket number document number,1
tried enter rapid reward contest link facebook browser kept popping security warning,0
people stranded cause suck better yet weasel flight booking problem room people claiming weather,0
bagage take cabin dont need checkincorrect,1
bag supposedly boston,0
great see redsox plane reminder ny side side jfk,2
trying check online flight tomorrow tried computer tablet phone got error message device,0
costumer service suck waiting week response,0
worst flight ive ever ground crew ignored plane made miss flight cover cost hotel,0
might airline offering waiverskeep good fight,0
